Signal Name,Data
BT_RX,9
BT_RX,0
BT_RX,0
BT_RX,8
BT_RX,0
BT_RX,18
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,48
BT_RX,0
BT_RX,0C
BT_RX,0
BT_RX,0
BT_RX,D3
BT_TX,8
BT_RX,2
BT_TX,0
BT_RX,5
BT_TX,0
BT_RX,0
BT_TX,D3
BT_RX,1
BT_TX,A5
BT_RX,0
BT_TX,1
BT_RX,0
BT_TX,0
BT_RX,11
BT_TX,0
BT_RX,2
BT_TX,0A
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,82
BT_TX,3
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,0
BT_TX,0D
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,C3
BT_TX,6
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,11
BT_TX,2
BT_TX,1
BT_TX,23
BT_RX,0C
BT_RX,0
BT_RX,0
BT_RX,D3
BT_RX,3
BT_RX,5
BT_RX,0
BT_RX,1
BT_RX,0
BT_RX,0
BT_RX,11
BT_RX,2
BT_TX,0A
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,83
BT_TX,3
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,0
BT_TX,0B
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,C2
BT_TX,4
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,11
BT_TX,2
BT_RX,14
BT_RX,0
BT_RX,0
BT_RX,D3
BT_RX,25
BT_RX,0D
BT_RX,0
BT_RX,11
BT_RX,2
BT_RX,9
BT_RX,0
BT_RX,0
BT_RX,8
BT_RX,0
BT_RX,18
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,48
BT_RX,0
BT_RX,0C
BT_RX,0
BT_RX,0
BT_RX,D3
BT_TX,8
BT_RX,2
BT_TX,0
BT_RX,5
BT_TX,0
BT_RX,0
BT_TX,D3
BT_RX,1
BT_TX,A5
BT_RX,0
BT_TX,1
BT_RX,0
BT_TX,0
BT_RX,11
BT_TX,0
BT_RX,2
BT_TX,0A
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,82
BT_TX,3
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,0
BT_TX,0D
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,C3
BT_TX,6
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,21
BT_TX,2
BT_TX,45
BT_TX,67
BT_RX,0C
BT_RX,0
BT_RX,0
BT_RX,D3
BT_RX,3
BT_RX,5
BT_RX,0
BT_RX,1
BT_RX,0
BT_RX,0
BT_RX,21
BT_RX,2
BT_TX,0A
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,83
BT_TX,3
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,0
BT_TX,0D
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,C9
BT_TX,6
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,41
BT_TX,2
BT_TX,78
BT_TX,9A
BT_TX,0F
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,C3
BT_TX,8
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,41
BT_TX,2
BT_TX,45
BT_TX,AB
BT_TX,CD
BT_TX,ED
BT_RX,0C
BT_RX,0
BT_RX,0
BT_RX,D3
BT_RX,3
BT_RX,5
BT_RX,0
BT_RX,1
BT_RX,0
BT_RX,0
BT_RX,41
BT_RX,2
BT_TX,0A
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,83
BT_TX,3
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,0
BT_TX,10
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,C3
BT_TX,9
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,51
BT_TX,2
BT_TX,ED
BT_TX,CB
BT_TX,A0
BT_TX,32
BT_TX,1
BT_RX,0C
BT_RX,0
BT_RX,0
BT_RX,D3
